Filename,Tobj,Obj,HIP_name,Thorium1,Thorium2,Haolgen1,Halogen2,Date,RA,DEC,SNR,Filesize,Md5
rbor.093.fits,HIP111170,HIP111170,HIP111170,Off,Off,Off,Off,2019-09-15T04:23:44.36,22:31:18.3, -6:33:19.1,95.81138,1477440,9cd9ebcd7df5ec41e3d9da853768c1e8
rbor.094.fits,HIP111170,HIP111170,HIP111170,Off,Off,Off,Off,2019-09-15T04:29:28.56,22:31:18.3, -6:33:19.1,95.22139,1477440,3b78fb54b71293a9bb586e2391c73640
rbor.104.fits,HIP116971,HIP116971,HIP116971,Off,Off,Off,Off,2019-09-15T05:10:33.46,23:42:43.3,-14:32:41.6,151.06216,1477440,1886fe35eb315dc24fb6c54f758e0459
rbor.106.fits,HIP116971,HIP116971,HIP116971,Off,Off,Off,Off,2019-09-15T05:19:09.96,23:42:43.3,-14:32:41.6,152.94699,1477440,6a3f20d63df8d9c7938295b965c59f94
rbor.114.fits,HIP114189,HIP114189,HIP114189,Off,Off,Off,Off,2019-09-15T06:07:50.88,23:07:28.7, 21:08:03.3,101.93236,1477440,f7498807a91d8875fcbc95f2d0b17fdb
rbor.115.fits,HIP114189,HIP114189,HIP114189,Off,Off,Off,Off,2019-09-15T06:12:03.01,23:07:28.7, 21:08:03.3,102.83485,1477440,4b21b54de6b3899049c9eef754ba5a2a
rbor.116.fits,HIP114189,HIP114189,HIP114189,Off,Off,Off,Off,2019-09-15T06:15:49.71,23:07:28.7, 21:08:03.3,93.579346,1477440,859d2fbb52e990a660cc242f7c8adf8d
rbor.120.fits,HIP114971,HIP114971,HIP114971,Off,Off,Off,Off,2019-09-15T06:40:02.41,23:17:09.9,  3:16:56.2,118.38728,1477440,1bda4f0e5480876dfa9ca3d7451c0250
rbor.123.fits,HIP116727,HIP116727,HIP116727,Off,Off,Off,Off,2019-09-15T06:52:17.65,23:39:20.9, 77:37:56.5,116.163925,1477440,d38a257e29e40b9d49abf5fcd773a168
rbor.124.fits,HIP116727,HIP116727,HIP116727,Off,Off,Off,Off,2019-09-15T06:53:23.39,23:39:20.9, 77:37:56.5,126.23779,1477440,bb43f0cfee9f21f7b7548bc69b4f63ed
rbor.125.fits,HIP116727,HIP116727,HIP116727,Off,Off,Off,Off,2019-09-15T06:54:28.58,23:39:20.9, 77:37:56.5,122.73045,1477440,fe835f350f53432f033d0f4c65991bce
rbor.127.fits,HIP114622,HIP114622,HIP114622,Off,Off,Off,Off,2019-09-15T07:04:18.12,23:13:17.0, 57:10:06.1,99.14677,1477440,1d21902a80d2f1781c454bca05be3c4a
rbor.128.fits,HIP114622,HIP114622,HIP114622,Off,Off,Off,Off,2019-09-15T07:07:06.96,23:13:17.0, 57:10:06.1,97.48924,1477440,742c8ad54a3d522c7712c5732c4b65a5
rbor.148.fits,HIP36366,HIP36366,HIP36366,Off,Off,Off,Off,2019-09-15T11:37:57.58, 7:29:06.7, 31:47:04.4,100.69236,1477440,2488256e9ade5d02ff3e324b84d3567c
rbot.583.fits,HIP109176,HIP109176,HIP109176,Off,Off,Off,Off,2019-09-17T06:26:30.53,22:07:00.7, 25:20:42.4,104.20028,1477440,443a03160da0decbbc8be428f72dfde2
rbot.584.fits,HIP109176,HIP109176,HIP109176,Off,Off,Off,Off,2019-09-17T06:27:58.14,22:07:00.7, 25:20:42.4,109.22609,1477440,6d54d2aabffc76ef0c0ff07573e7a866
rbou.100.fits,HIP92043,HIP92043,HIP92043,Off,Off,Off,Off,2019-09-18T04:59:23.93,18:45:39.7, 20:32:46.7,128.77477,1477440,88750ada263de6b00bc5edd2b80d0981
