star,rounded r shifted wl,index,Unnamed: 0,identifier,r shifted wl,r unshifted wl,r heights,r AMD heights,observation time,rounded r unshifted wl
HIP107975,5889.74,160,6,HIP107975_9,5889.746719956287,5889.806529018527,0.2162958651753372,10.197692134898745,2019-07-10T11:39:24.31,5889.8
HIP114430,5896.52,170,9,HIP114430_12,5896.526876717652,5896.027941395563,0.2458334351594168,12.54801805028676,2018-04-02T12:32:30.48,5896.02
HIP14286,5004.5,4,15,HIP14286_3,5004.504441423552,5004.385866313039,0.1325766339936747,6.454436939556877,2018-11-05T08:02:23.48,5004.38
HIP14576,5205.5,62,20,HIP14576_3,5205.490459467761,5205.464029573961,0.0077600582524627,6.819795843892105,2018-11-05T09:41:25.95,5205.46
HIP14576,5403.56,98,17,HIP14576_1,5403.552116629485,5403.533826255581,0.0146153601697337,7.6528985143197215,2018-11-05T09:42:25.76,5403.54
HIP36152,5226.46,65,25,HIP36152_0,5226.467642410642,5227.883307691955,0.0771653075870893,6.742232005588356,2018-03-28T04:47:50.21,5227.88
HIP50384,5012.0,8,34,HIP50384_0,5012.000246312617,5012.814702257936,0.116729181486146,7.037172668167504,2017-03-08T06:42:31.26,5012.82
HIP67301,5018.38,23,43,HIP67301_2,5018.383062025659,5016.982052122516,0.0203348502700334,14.24786242882234,2018-07-27T04:40:29.25,5016.98
HIP67301,5348.9,89,37,HIP67301_0,5348.905360397459,5347.837351400912,0.0054605310180328,6.107898501903295,2018-07-27T04:41:27.04,5347.84
HIP67301,5598.3,142,44,HIP67301_2,5598.290340452142,5596.727434609623,0.0093157292967982,6.060136048012676,2018-07-27T04:40:29.25,5596.72
HIP677,5586.4,139,46,HIP677_1,5586.390133197386,5584.7738538793565,0.0090512895824257,6.3830293796145074,2018-10-23T05:55:41.20,5584.78
HIP68030,5049.88,26,78,HIP68030_5,5049.887951696831,5050.093079882173,0.1338243592939151,7.255689374711736,2020-05-29T05:35:37.52,5050.1
HIP68030,5049.92,29,55,HIP68030_1,5049.922229010122,5050.041885905236,0.1354177473719608,7.362204911285482,2017-05-14T06:21:30.41,5050.04
HIP68030,5107.36,35,90,HIP68030_7,5107.369868892131,5107.611910838123,0.1109413079885419,6.868458369866955,2020-06-05T05:51:38.20,5107.62
HIP68030,5110.34,38,52,HIP68030_0,5110.3347891,5110.455877458618,0.1227616087274705,6.454940272375252,2017-05-14T06:29:09.62,5110.46
HIP68030,5166.22,42,89,HIP68030_7,5166.224912450777,5166.46974357978,0.1099600323758177,6.610103545829469,2020-06-05T05:51:38.20,5166.46
HIP68030,5168.82,50,60,HIP68030_2,5168.820511836136,5168.942986002232,0.0827138061674454,7.94824429453205,2017-05-14T06:36:48.60,5168.94
HIP68030,5168.86,53,88,HIP68030_7,5168.855596432407,5169.100552231424,0.0711115106757911,7.042135343968762,2020-06-05T05:51:38.20,5169.1
HIP68030,5227.08,74,92,HIP68030_7,5227.08850525,5227.336220748613,0.1367607248478317,6.793939972218125,2020-06-05T05:51:38.20,5227.34
HIP68030,5405.68,104,87,HIP68030_7,5405.679845992678,5405.936025063886,0.1053223282557699,8.32386779173228,2020-06-05T05:51:38.20,5405.94
HIP68030,5405.72,107,75,HIP68030_5,5405.716538327908,5405.936120392815,0.1280126227378632,6.677206163983715,2020-05-29T05:35:37.52,5405.94
HIP68030,5476.82,118,67,HIP68030_3,5476.812997463271,5477.035467490799,0.1201235987978112,6.631611929662276,2020-05-29T05:26:57.22,5477.04
HIP68030,5853.76,148,49,HIP68030_0,5853.757068132426,5853.8957717329495,0.1060425271761805,6.591597268957665,2017-05-14T06:29:09.62,5853.9
HIP68030,5853.78,157,76,HIP68030_5,5853.776934981586,5854.014717413901,0.1299674437282554,7.101330216356754,2020-05-29T05:35:37.52,5854.02
HIP73695,5167.44,47,104,HIP73695_3,5167.4348607517295,5167.137527382986,0.2381068513136425,6.504338616898672,2018-05-22T05:26:49.82,5167.14
HIP73695,5188.76,56,103,HIP73695_1,5188.769349720676,5188.470788768876,0.1472630685833861,6.776248976089209,2018-05-22T05:25:27.21,5188.48
HIP77760,5191.54,59,112,HIP77760_0,5191.534847343815,5190.779327751265,0.1203353919970578,6.730878141363516,2018-06-06T07:14:02.49,5190.78
HIP77760,5226.76,68,127,HIP77760_14,5226.769195150069,5226.008547933246,0.1836716671569339,6.53408540176438,2018-06-06T07:12:48.17,5226.0
HIP77760,5227.08,71,121,HIP77760_13,5227.070765288256,5226.31007418419,0.1735715227958205,7.148756180477775,2018-06-06T07:11:33.71,5226.32
HIP77760,5232.84,77,122,HIP77760_14,5232.839423912369,5232.077893300385,0.0557466329356444,6.694760318782421,2018-06-06T07:12:48.17,5232.08
HIP77760,5371.6,92,125,HIP77760_14,5371.590645996996,5370.80892303923,0.1496427161036611,6.573271955495915,2018-06-06T07:12:48.17,5370.8
HIP77760,5383.28,95,124,HIP77760_14,5383.270789786179,5382.487367027153,0.1145369987258321,6.578111761744276,2018-06-06T07:12:48.17,5382.48
HIP77760,5615.56,145,118,HIP77760_13,5615.568766027623,5614.751537144296,0.138142925351787,6.902503610700088,2018-06-06T07:11:33.71,5614.76
HIP77760,5853.78,154,115,HIP77760_13,5853.776934981586,5852.925039868706,0.132336040278568,6.582002256852768,2018-06-06T07:11:33.71,5852.92
HIP84862,5001.94,0,135,HIP84862_6,5001.940427900683,5000.823229904575,0.1662771489147382,6.047926733522354,2019-07-10T05:01:52.82,5000.82
HIP84862,5012.0,7,137,HIP84862_7,5012.000246312617,5010.880801426699,0.1468459304312727,7.446418193425494,2019-07-10T05:03:43.25,5010.88
HIP84862,5166.22,41,140,HIP84862_9,5166.224912450777,5165.123459462858,0.116880515334264,6.104568988316361,2019-07-24T05:57:51.84,5165.12
HIP91919,5283.36,86,145,HIP91919_1,5283.358902901284,5281.94647659851,0.0165796424193695,6.731478619532147,2017-08-26T04:26:57.95,5281.94
HIP91926,5429.5,110,148,HIP91926_1,5429.490338188629,5427.95618926968,0.0092071610820774,6.648605180392674,2017-08-25T05:21:28.67,5427.96
HIP93747,5250.36,80,155,HIP93747_3,5250.361812823302,5249.02925836645,0.0081639524106361,7.381573501051091,2018-06-19T09:09:13.84,5249.02
HIP93747,5250.62,83,150,HIP93747_1,5250.611284443777,5249.207612722791,0.0119326059482123,7.586992110318138,2018-06-19T09:08:15.54,5249.2
HIP97649,5446.62,113,157,HIP97649_11,5446.617471879319,5445.142974571862,0.0095143733182038,6.541369615411336,2018-06-29T11:21:34.91,5445.14
