,Unnamed: 0.1,star,identifier,r shifted wl,r unshifted wl,r heights,r AMD heights,rounded r shifted wl,observation time,rounded r unshifted wl,name,best_mean_chi_squared
86,145,HIP91919,HIP91919_1,5283.358902901284,5281.94647659851,0.0165796424193695,6.731478619532147,5283.36,2017-08-26T04:26:57.95,5281.94,HIP91919_1,5.34
87,146,HIP91919,HIP91919_3,5283.358902901284,5281.96435069332,0.0150062634902246,6.075164262228685,5283.36,2017-08-26T04:23:59.85,5281.96,HIP91919_3,5.2
88,144,HIP91919,HIP91919_0,5283.358902901284,5281.928602624669,0.0252582730917417,6.028752784809061,5283.36,2017-08-26T04:25:28.32,5281.92,HIP91919_0,5.23
89,37,HIP67301,HIP67301_0,5348.905360397459,5347.837351400912,0.0054605310180328,6.107898501903295,5348.9,2018-07-27T04:41:27.04,5347.84,HIP67301_0,6.84
90,40,HIP67301,HIP67301_1,5348.905360397459,5347.936893535355,0.0052429447828639,6.060032237038316,5348.9,2018-07-27T04:42:19.47,5347.94,HIP67301_1,6.86
91,45,HIP67301,HIP67301_2,5348.905360397459,5347.4120767464765,0.0094764499153798,6.183140358690292,5348.9,2018-07-27T04:40:29.25,5347.42,HIP67301_2,6.79
92,125,HIP77760,HIP77760_14,5371.590645996996,5370.80892303923,0.1496427161036611,6.573271955495915,5371.6,2018-06-06T07:12:48.17,5370.8,HIP77760_14,1.53
93,119,HIP77760,HIP77760_13,5371.608876439412,5370.827150828585,0.1446930890293407,6.771376624111622,5371.6,2018-06-06T07:11:33.71,5370.82,HIP77760_13,1.49
94,108,HIP77760,HIP77760_0,5371.608876439412,5370.827150828585,0.152153894762037,6.921821247092228,5371.6,2018-06-06T07:14:02.49,5370.82,HIP77760_0,1.6
95,124,HIP77760,HIP77760_14,5383.270789786179,5382.487367027153,0.1145369987258321,6.578111761744276,5383.28,2018-06-06T07:12:48.17,5382.48,HIP77760_14,1.53
96,107,HIP77760,HIP77760_0,5383.270789786179,5382.487367027153,0.1199425210527857,6.9849382732331495,5383.28,2018-06-06T07:14:02.49,5382.48,HIP77760_0,1.6
97,117,HIP77760,HIP77760_13,5383.289059869397,5382.505634451541,0.1110161355272222,6.0084573151860265,5383.28,2018-06-06T07:11:33.71,5382.5,HIP77760_13,1.49
98,17,HIP14576,HIP14576_1,5403.552116629485,5403.533826255581,0.0146153601697337,7.6528985143197215,5403.56,2018-11-05T09:42:25.76,5403.54,HIP14576_1,5.78
99,18,HIP14576,HIP14576_2,5403.552116629485,5403.533826255581,0.0176998458333535,7.136066187863891,5403.56,2018-11-05T09:43:24.90,5403.54,HIP14576_2,5.8
100,21,HIP14576,HIP14576_3,5403.552116629485,5403.524681115061,0.0109269323908188,6.739826963294659,5403.56,2018-11-05T09:41:25.95,5403.52,HIP14576_3,5.79
101,77,HIP68030,HIP68030_5,5405.6614999184585,5405.881079747686,0.0496739870988026,6.211520268506822,5405.66,2020-05-29T05:35:37.52,5405.88,HIP68030_5,1.55
102,72,HIP68030,HIP68030_4,5405.6614999184585,5405.881079747686,0.0699184562121349,6.519881741077777,5405.66,2020-05-29T05:31:16.21,5405.88,HIP68030_4,9.39
103,65,HIP68030,HIP68030_3,5405.6614999184585,5405.881079747686,0.0796160495590219,6.233385376939677,5405.66,2020-05-29T05:26:57.22,5405.88,HIP68030_3,1.58
104,87,HIP68030,HIP68030_7,5405.679845992678,5405.936025063886,0.1053223282557699,8.32386779173228,5405.68,2020-06-05T05:51:38.20,5405.94,HIP68030_7,3.58
105,80,HIP68030,HIP68030_6,5405.679845992678,5405.936025063886,0.1487451185447992,7.980923571130314,5405.68,2020-06-05T05:38:57.75,5405.94,HIP68030_6,1.55
106,95,HIP68030,HIP68030_8,5405.679845992678,5405.936025063886,0.1503504181655689,7.983829653942597,5405.68,2020-06-05T05:45:14.14,5405.94,HIP68030_8,1.53
107,75,HIP68030,HIP68030_5,5405.716538327908,5405.936120392815,0.1280126227378632,6.677206163983715,5405.72,2020-05-29T05:35:37.52,5405.94,HIP68030_5,1.55
108,73,HIP68030,HIP68030_4,5405.716538327908,5405.936120392815,0.1245744830125345,6.726230006980247,5405.72,2020-05-29T05:31:16.21,5405.94,HIP68030_4,9.39
