,Star_name,Velocity_shift [km/s],X-corr_peak
0,HIP103650,62.915324100512066,217.83686788240274
1,HIP19859,70.01866714391704,88.34235118132652
2,HIP109857,1.0147632919408267,11.489233228186711
3,HIP64241,89.80655133671988,69.50248359116358
4,HIP25878,70.0186671439846,154.68064368464118
5,HIP13402,110.60919882144587,148.02558260330298
6,HIP115331,87.26964310691109,126.91644571062625
7,HIP13834,107.56490894609259,26.30730349812042
8,HIP70218,70.01866714385106,207.86622754489943
9,HIP36393,28.920753820314786,52.40576417271114
10,HIP4845,94.37298615049687,188.7610383890934
11,HIP56802,67.9891405599071,100.67511538856593
12,HIP103800,98.43203931826017,231.7877527609462
13,HIP70400,27.905990528373955,51.04260940872236
14,HIP4849,116.69777857359101,193.60547872790394
15,HIP19930,115.68301528125423,156.1370099004974
16,HIP115341,70.01866714391704,191.80344367190568
17,HIP26366,210.05600143155317,163.16611812438114
18,HIP64394,69.00390385174569,127.16260065067075
19,HIP13601,81.18106335542316,127.66642235163827
20,HIP109926,93.35822285819847,127.13718398814045
21,HIP36439,80.16630006332531,82.6672394447406
22,GJ1002,61.90056080839042,2444.272515389065
23,HIP56809,82.19582664736595,118.64174114218503
24,HIP103859,83.21058993914778,172.1720453256177
25,HIP4856,81.18106335526613,169.37824158387065
26,HIP70475,96.40251273447156,334.31896452009977
27,HIP26624,132.9339912446993,64.49107333235848
28,HIP115445,129.88970136867704,143.95650921454862
29,HIP19990,91.83607792064505,14.718032641837917
30,HIP13642,109.0870538835867,179.10366371702221
31,HIP109980,71.03343043572383,181.67565250821676
32,HIP115562,66.97437726809454,126.14418335539277
33,HIP57328,2.0295265838816534,52.7072715400939
34,HIP64577,43.634821553414426,166.6883454878519
35,HIP36850,2.5369082298518215,54.921959516482275
36,HIP13665,101.47632919398706,37.31035554220227
37,HIP104019,1.0147632919408267,9.678562302228617
38,HIP4872,76.10724689556199,151.6530298218489
39,HIP11000,119.74206844924916,182.9938029000032
40,HIP20219,80.67368170929694,11.324405035051244
41,HIP11565,97.41727602631934,166.99867006617683
42,HIP27288,1.0147632919408267,51.17454751845062
43,HIP64725,119.2346868029903,214.53846988401278
44,GJ144,97.41727602641336,146.59159536196577
45,HIP57632,8.625487981496782,52.81363629968724
46,HIP70529,103.50585577796431,172.41304711335758
47,HIP36915,92.34345956661522,213.39942633927683
48,HIP14286,75.09248360337031,86.92324671737559
49,HIP104092,44.64958484543945,198.12035316092735
50,HIP11029,1.0147632919408267,11.232692096930764
51,HIP11569,97.41727602631934,11.497724658103254
52,HIP64792,62.407942454330154,116.79147065265647
53,GJ234,121.7715950328992,1142.1047941525555
54,HIP20261,118.72730515696483,11.515427134296942
55,HIP4907,60.8857975164496,157.45834109391566
56,HIP70536,116.69777857319505,175.63635852520864
57,HIP2762,108.57967223756614,75.94050425937206
58,HIP5799,120.75683174095839,84.85555601545916
59,HIP36985,88.28440639885193,156.5493295536336
60,HIP104139,4.059053167763307,6.921411735883271
61,HIP14293,2.536908229850421,8.451273005150291
62,HIP110341,89.29916969079275,45.32548689190673
63,HIP115738,2.0295265838758576,15.330768653460185
64,HIP20542,56.82674434868629,12.23479040669924
65,GJ54.1,129.88970136842582,5667.979593600459
66,HIP49081,161.3473634189035,158.96438586231616
67,HIP70952,73.06295701974,57.57208772153663
68,HIP27654,165.40641658635474,171.30290191488947
69,HIP64797,118.72730515696483,192.2230089024558
70,HIP58001,1.014763291943779,51.13007142184398
71,HIP37288,128.87493807692226,169.5237859584575
72,HIP10416,102.49109248636759,179.1631063308552
73,HIP14576,79.15153677165304,7.280340289530103
74,HIP110395,18.77312090090652,7.058715587095105
75,HIP116003,95.3877494423478,149.3896323511461
76,GJ628,34.50195192598811,139.40803061470373
77,HIP27913,93.35822285855605,103.85049893790519
78,HIP49127,119.74206844901755,328.76407419620665
79,HIP20635,1.0147632919408267,9.145835373536839
80,HIP70956,79.15153677138447,187.3450597033595
81,HIP64924,56.31936270268801,149.5531614007642
82,HIP58684,60.88579751644912,57.2582190815509
83,HIP37629,128.874938076485,113.13580378275937
84,HIP104239,40.08315003164225,160.09286725463707
85,HIP14632,122.27897667881138,91.0991185926676
86,HIP110526,49.21601965913033,115.62321116991326
87,HIP71075,1.5221449379114846,53.7706816043621
88,HIP116085,48.70863801315967,150.45279386325123
89,GJ65A,31.965043696137265,219.19284824284236
90,HIP49669,-4.059053167760415,38.69902941522363
91,HIP27922,127.86017478430287,128.32109992806178
92,HIP20641,4.059053167759481,8.904119332317267
93,HIP65026,85.24011652302944,136.26125470382965
94,HIP59000,90.3139329830368,179.31556055982287
95,HIP3765,47.69387472121885,185.72501012553997
96,HIP104383,111.62396211349092,159.07451300356828
97,HIP110640,99.44680261053844,181.8882200431009
