,Star_name,Velocity_shift [km/s],X-corr_peak
0,HIP107556_1,1.5221449379114846,5.718023093218161
1,HIP102101_2,51.75292788898216,159.26698274596578
2,HIP110341_11,89.29916969079275,39.228895515332816
3,HIP111169_6,28.920753820314292,0.9289580990311688
4,HIP112245_5,30.442898758254174,102.95922568313381
5,HIP104239_0,40.08315003164225,153.67585365436122
6,HIP88175_0,25.369082298472797,6.842232297814536
7,HIP108917_0,70.01866714391704,13.248349393348645
8,HIP94650_7,27.3986088823765,170.87052672652217
9,HIP98036_0,33.48718863415971,124.1632447352339
10,HIP114924_0,67.98914055997132,64.5377309905997
11,HIP4872_3,66.97437726831942,132.56946866126898
12,TIC274942910_1,40.59053167763307,213.48357580855824
13,HIP77052_5,114.66825198893034,110.66476058277
14,HIP97223_7,85.24011652294911,169.9591047224205
15,HIP6379_0,48.70863801311378,133.26127947852788
16,HIP25486_3,-3.0442898758229693,16.436536408408525
17,HIP54155_1,131.91922795230747,105.30735646207881
18,HIP66781_0,90.31393298273358,135.60224884434083
19,KIC8462852_55,1.0147632919408267,61392.371357867254
20,HIP36121_1,97.41727602631934,193.52816098306482
21,HIP98677_1,83.21058993914778,97.11358768047434
22,HIP7748_0,58.85627093256795,162.44772905417784
23,HIP93843_0,2.0295265838855787,3.7187544319132386
24,HIP16499_6,23.339555714639012,13.058823453555894
25,HIP79137_0,102.49109248631805,169.22196737478558
26,HIP102101_3,64.94485068421291,149.13664717435393
27,HIP94650_8,27.3986088823765,169.950665648647
28,HIP104239_1,40.08315003164225,153.67048390340867
29,TIC274942910_2,40.59053167767223,226.63037344038187
30,HIP108917_1,91.836077920648,11.27190963384936
31,HIP79137_1,102.49109248631805,169.32968916802352
32,HIP66781_1,90.31393298273358,135.86797877699755
33,HIP107556_2,1.0147632919408267,5.696106336959191
34,HIP7748_1,44.6495848453543,323.34270217158553
35,HIP112245_6,30.442898758254174,103.01856496860194
36,HIP88175_1,13.191922795231234,7.624101231709061
37,HIP97223_8,66.97437726803145,183.38680893734067
38,HIP114924_1,67.98914055997132,64.19389330567587
39,HIP54155_2,131.91922795230747,105.59868035981107
40,KIC8462852_56,47.186493075249174,107.08927724108206
41,HIP25486_4,73.57033866571017,15.866936682852343
42,HIP110341_12,90.31393298264845,39.295867820694504
43,HIP98677_2,83.21058993914778,97.3569994234445
44,HIP93843_1,18.77312090090603,3.4588475228157383
45,HIP6379_1,48.70863801315967,133.4679267033395
46,HIP111169_7,23.339555714639992,0.97837283267717
47,HIP36121_2,97.41727602631934,176.06189295161656
48,HIP77052_6,114.66825198893034,110.54365798642407
49,GJ144_0,92.34345956626154,145.6621650977855
50,HIP98036_1,22.324792422623602,125.10995822360854
51,HIP4872_4,59.87103422470978,117.92401150469708
52,HIP79137_2,102.49109248636759,169.7142870836164
53,HIP94650_9,21.31002913075736,170.828109045074
54,HIP108917_2,1.0147632919418057,11.827274753352766
55,HIP104239_2,40.59053167749746,153.33244963063743
56,HIP99742_0,0.0,0.5450672530140999
57,HIP66781_2,90.31393298273358,133.295707088664
58,HIP60303_0,111.6239621130634,1790.9039959121428
59,TIC317597583_0,114.66825198942405,259.428368666244
60,HIP36985_0,88.28440639885193,153.27088232568101
61,HIP7748_2,58.85627093256795,162.58586177426886
62,HIP112245_7,32.472425342106455,101.84246718076042
63,HIP111169_8,28.413372174344122,0.6596325431464645
64,HIP107556_3,2.0295265838797407,5.715006623195048
65,HIP98677_3,83.21058993914778,97.063050968279
66,KIC8462852_57,38.05362344778075,323.2025899820078
67,HIP54155_3,131.91922795230747,105.6255325601724
68,HIP29277_0,71.03343043585787,198.27089472607065
69,HIP117779_0,71.03343043609635,146.29792612006608
70,HIP88175_2,4.566434813733965,7.117585666332993
71,HIP98036_2,21.310029130829662,120.23850190570461
72,HIP6379_2,48.70863801315967,133.93614020063836
73,HIP4872_5,76.10724689556199,120.60249384687471
74,HIP93843_2,1.0147632919408267,3.7717048206907484
75,HIP114924_2,67.98914055997132,64.48515356011404
76,HIP77052_7,96.40251273437852,110.87496240253581
77,GJ144_1,92.34345956635151,144.54126510514456
78,HIP104239_3,29.428135466382773,154.23426679076218
79,HIP94650_10,23.339555714617017,171.34187821070574
80,HIP79137_3,86.25487981497025,175.51753561559997
81,HIP108917_3,70.01866714391704,13.26548886487305
82,HIP60303_1,111.62396211311804,163.66591319408175
83,HIP70475_0,96.40251273437852,646.0462454251577
84,HIP99742_1,0.0,0.5292868237997198
85,HIP7748_3,44.6495848453543,201.42858230054796
86,HIP111169_9,37.03886015584091,0.28562836180555556
87,HIP112245_8,26.383845590486953,105.59405963929773
88,KIC8462852_58,22.32479242269965,488.0520318938134
89,HIP36985_1,88.28440639885193,158.80002124457056
90,HIP5310_0,1.0147632919408267,0.8082625873752635
91,TIC317597583_1,114.66825198942405,252.15624354673025
92,HIP98036_3,22.324792422623602,125.07356519597954
93,HIP73695_0,64.94485068399595,38.18019684134163
94,HIP116838_0,75.09248360362116,203.30587100570452
95,HIP117779_1,80.16630006332531,148.38371856752985
96,HIP6379_3,47.69387472138068,130.9973843514733
97,HIP88175_3,8.118106335534446,6.823403140003308
98,HIP29277_1,71.03343043585787,189.61756570980086
99,HIP114924_3,43.63482155349765,66.49402302319537
100,HIP77052_8,114.66825198893034,110.48479393495666
101,HIP93843_3,25.369082298521644,3.6510203891456126
102,HIP4872_6,66.9743772682241,122.29807444062409
103,GJ144_2,92.34345956626154,145.46853964763022
104,HIP109388_0,49.7234013051005,168.76495405803072
105,HIP94650_11,24.354319006579836,170.76176350850025
106,HIP79882_0,98.43203931816743,155.47411521271985
107,HIP60303_2,98.43203931826017,150.77909822807172
108,HIP7748_4,58.85627093256795,162.39060563847997
109,HIP99742_2,10.655014565378435,0.5209734642246485
110,HIP36366_0,2.0295265838797407,4.9785714209920835
111,KIC8462852_59,42.11267661554455,363.8910520115494
