Star_name,Velocity_shift [km/s],X-corr_peak
HIP107556_1,-80.16630006317403,5.544006014614087
HIP102101_2,-29.42813546631237,148.25700843910457
HIP110341_11,8.118106335499494,39.301967578385714
HIP111169_6,-52.26030953495184,0.8795409030032683
HIP112245_5,-50.73816459704133,99.99085926472816
HIP104239_0,-41.60529496957389,150.56503458367231
HIP88175_0,-55.81198105674546,6.5588693427550595
HIP108917_0,-11.162396211386966,13.274102336267282
HIP94650_7,-54.79721776462158,165.74896443302217
HIP98036_0,-47.69387472121885,121.00505295361201
HIP114924_0,-14.206686087171573,64.34884785920379
HIP4872_3,-14.206686087165034,125.69970946796586
TIC274942910_1,-40.590531677750946,197.96837015179844
HIP77052_5,32.472425342106455,109.55331794268915
HIP97223_7,4.059053167749747,167.42334475559292
HIP6379_0,-33.48718863395162,130.6074733372942
HIP25486_3,-84.73273487714104,16.117706144181493
HIP54155_1,49.72340130526922,105.41964110160428
HIP66781_0,9.132869627458813,133.31532353939653
KIC8462852_55,-80.16630006317403,65373.60594927759
HIP36121_1,16.23621267108463,182.23424801507065
HIP98677_1,2.0295265838816534,96.0739803033555
HIP7748_0,-22.324792422762343,158.93558995909453
HIP93843_0,-79.15153677138447,3.6228118075835165
HIP16499_6,-57.841507640627114,12.686555095479633
HIP79137_0,21.31002913075736,168.0707663514417
HIP102101_3,-16.23621267108463,145.23397817512196
HIP94650_8,-54.79721776464815,164.76561825523817
HIP104239_1,-41.60529496953468,150.3675322939861
TIC274942910_2,-39.57576838576762,202.84340917886644
HIP108917_1,10.655014565381858,11.37024756398614
HIP79137_1,21.31002913075736,168.32390510501867
HIP66781_1,9.13286962746744,134.2264335335682
HIP107556_2,-80.67368170929649,5.5457269454778695
HIP7748_1,-37.546241801684985,315.530676076837
HIP112245_6,-50.73816459704133,100.1529673267588
HIP88175_1,-68.49652220600555,7.410087996832259
HIP97223_8,-15.221449379098058,176.50357964656322
HIP114924_1,-14.206686087158186,64.03736768097949
HIP54155_2,50.23078295107064,105.59808791283962
KIC8462852_56,-32.979806988076135,77.56378036908175
HIP25486_4,-8.118106335526123,15.92603068834846
HIP110341_12,8.118106335526614,39.35774263195595
HIP98677_2,2.0295265838816534,96.16836786752843
HIP93843_1,-62.4079424543601,3.410871119077679
HIP6379_1,-32.97980698807592,130.8131832809653
HIP111169_7,-57.33412599465548,0.9354416805665232
HIP36121_2,16.23621267100686,164.90708412872604
HIP77052_6,32.472425342106455,109.40868657068962
GJ144_0,10.147632919408267,145.31132470472792
HIP98036_1,-59.87103422439579,120.08824691841089
HIP4872_4,-21.31002913075736,113.56106336463752
HIP79137_2,21.31002913075736,168.59041193590502
HIP94650_9,-59.87103422456654,164.77662861475568
HIP108917_2,-80.16630006324976,11.574094168848395
HIP104239_2,-41.60529496953468,150.12745947120058
HIP99742_0,-81.68844500127548,0.4727448491645147
HIP66781_2,9.13286962746744,131.48789577330678
HIP60303_0,29.42813546634089,1986.5423649116044
TIC317597583_0,33.9945702799989,215.33859468609126
HIP36985_0,6.088579751665618,140.68091670715037
HIP7748_2,-22.324792422698188,159.87103549739763
HIP112245_7,-48.70863801315967,98.60810769665642
HIP111169_8,-52.76769118092201,0.6297099754347443
