,source_id,ra,dec,parallax,parallax_error,teff_val,radius_val
0,2430036837596487424,5.305588587314166,-8.281144249090133,1.299756736432399,0.048879578938018975,4445.0,22.816832
0,2430036837596487424,5.305588587314166,-8.281144249090133,1.299756736432399,0.048879578938018975,4445.0,22.816832
0,2430036837596487424,5.305588587314166,-8.281144249090133,1.299756736432399,0.048879578938018975,4445.0,22.816832
0,2195115561163064960,311.3231813168094,61.842305485764605,69.66375686620133,0.29983957802995975,4766.25,4.8644876
0,2195115561163064960,311.3231813168094,61.842305485764605,69.66375686620133,0.29983957802995975,4766.25,4.8644876
0,2195115561163064960,311.3231813168094,61.842305485764605,69.66375686620133,0.29983957802995975,4766.25,4.8644876
0,2195115561163064960,311.3231813168094,61.842305485764605,69.66375686620133,0.29983957802995975,4766.25,4.8644876
0,2195115561163064960,311.3231813168094,61.842305485764605,69.66375686620133,0.29983957802995975,4766.25,4.8644876
0,2195115561163064960,311.3231813168094,61.842305485764605,69.66375686620133,0.29983957802995975,4766.25,4.8644876
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,2515037264041041536,33.07984453435266,3.567642486429908,95.16193726440484,0.041348369937175694,3967.395,
0,2195886971653527168,313.3324562190983,62.15106513090693,142.0340682313454,0.030450125154020662,3959.08,
0,1732018855730384256,316.66641827270786,3.803335655144211,13.74686491753954,0.045492769124072435,5079.0,4.7904863
0,1872046574983507456,316.7477375941723,38.763411107191175,285.9459145181478,0.10084725602513019,4327.0,0.72014487
0,1872046574983497216,316.752931475456,38.75563452356051,286.1456653355467,0.05900722501018023,4177.3047,0.5798374
0,6832674634380238848,320.0567965369402,-19.8553890292441,63.34927446113603,0.08989338837279114,4026.18,0.71777296
0,1772187382746856320,326.13157051887043,14.771452436101356,55.163125678696964,0.060776794791020376,5955.0,1.0069538
0,2683023811628007296,330.54086462402756,1.3990311187671667,94.7419459224296,0.14058215479952144,3881.775,0.5645528
0,2611163717366876544,342.5804722062656,-7.089658495339789,68.95667204003655,0.05388362057016246,4055.7402,
0,2603090003484152064,343.32397371221697,-14.26659581558406,213.86686187906741,0.07583484267852367,3837.205,
0,2835207319109249920,344.3675399324613,20.76909575219835,64.64880800195482,0.12320145289963702,5830.0,1.1609589
0,2648914040357320576,344.5647243460932,-2.395448934638602,49.816961548702025,0.05736162220594198,5630.0,1.1790631
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,2515037264041041536,33.07984453435266,3.567642486429908,95.16193726440484,0.041348369937175694,3967.395,
0,2195886971653527168,313.3324562190983,62.15106513090693,142.0340682313454,0.030450125154020662,3959.08,
0,1732018855730384256,316.66641827270786,3.803335655144211,13.74686491753954,0.045492769124072435,5079.0,4.7904863
0,1872046574983507456,316.7477375941723,38.763411107191175,285.9459145181478,0.10084725602513019,4327.0,0.72014487
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,2515037264041041536,33.07984453435266,3.567642486429908,95.16193726440484,0.041348369937175694,3967.395,
0,2195886971653527168,313.3324562190983,62.15106513090693,142.0340682313454,0.030450125154020662,3959.08,
0,1732018855730384256,316.66641827270786,3.803335655144211,13.74686491753954,0.045492769124072435,5079.0,4.7904863
0,1872046574983507456,316.7477375941723,38.763411107191175,285.9459145181478,0.10084725602513019,4327.0,0.72014487
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,6904703228801028864,308.1000814468324,-9.852911234811666,40.382072224553426,0.09244685238873256,5625.5,1.8242917
0,2515037264041041536,33.07984453435266,3.567642486429908,95.16193726440484,0.041348369937175694,3967.395,
0,2195886971653527168,313.3324562190983,62.15106513090693,142.0340682313454,0.030450125154020662,3959.08,
0,1732018855730384256,316.66641827270786,3.803335655144211,13.74686491753954,0.045492769124072435,5079.0,4.7904863
0,1872046574983507456,316.7477375941723,38.763411107191175,285.9459145181478,0.10084725602513019,4327.0,0.72014487
0,1872046574983497216,316.752931475456,38.75563452356051,286.1456653355467,0.05900722501018023,4177.3047,0.5798374
0,6832674634380238848,320.0567965369402,-19.8553890292441,63.34927446113603,0.08989338837279114,4026.18,0.71777296
0,1772187382746856320,326.13157051887043,14.771452436101356,55.163125678696964,0.060776794791020376,5955.0,1.0069538
0,2683023811628007296,330.54086462402756,1.3990311187671667,94.7419459224296,0.14058215479952144,3881.775,0.5645528
0,2611163717366876544,342.5804722062656,-7.089658495339789,68.95667204003655,0.05388362057016246,4055.7402,
0,2603090003484152064,343.32397371221697,-14.26659581558406,213.86686187906741,0.07583484267852367,3837.205,
0,2835207319109249920,344.3675399324613,20.76909575219835,64.64880800195482,0.12320145289963702,5830.0,1.1609589
0,2648914040357320576,344.5647243460932,-2.395448934638602,49.816961548702025,0.05736162220594198,5630.0,1.1790631
0,2009481748875806976,348.3372026315853,57.169625529622316,153.0807790633365,0.0895023620746842,4787.3335,0.8033806
0,2756363608023335808,354.9892981679823,5.624412199677955,74.44483073735387,0.3339047436333509,6186.0,1.6422578
0,2739689239311660672,357.3064658099821,2.3970525061170203,169.35848506783154,0.059486244218101315,4044.2874,
0,19316224572460416,39.02813547774202,6.893133580989843,138.20838805098694,0.14363611408382623,4762.0674,0.79704875
