name,HIP_name,Simbad_resolvable_name,filenames,SNR,iodine_flag,failure_code,failure_message,iso_fail_flag,warnings,Teff_bounds_flag,R_bounds_flag,Teff,u_Teff,Teff_detrended,u_Teff_detrended,iso_Teff,iso_up_Teff,iso_um_Teff,radius,u_radius,radius_detrended,u_radius_detrended,iso_radius,iso_up_radius,iso_um_radius,feh,u_feh,feh_detrended,u_feh_detrended,iso_feh,iso_up_feh,iso_um_feh,logg,u_logg,logg_detrended,u_logg_detrended,iso_logg,iso_up_logg,iso_um_logg,mass,u_mass,mass_detrended,u_mass_detrended,iso_mass,iso_up_mass,iso_um_mass,age,u_age,age_detrended,u_age_detrended,iso_age,iso_up_age,iso_um_age,best_mean_chi_squared,timestamp
HIP80331,HIP80331,HIP80331,"['rayr.242.fits', 'rayr.243.fits', 'rayr.244.fits']",313.9369214109739,0,0,No failure,False,[],0,3,4927.584,125.8,4936.542,125.8,4943.631,49.404,53.808,7.438,0.34,7.438,0.34,9.767,0.827,0.663,0.097,0.09,0.064,0.09,0.06,0.093,0.066,2.918,0.09,2.918,0.09,2.809,0.047,0.051,1.425,0.6,1.425,0.6,2.303,0.178,0.195,9.54,0.23,9.539,0.23,0.753,0.244,0.16,3.23,05Nov2021-10:19:13
HIP109980,HIP109980,HIP109980,"['rbob.394.fits', 'rbob.396.fits', 'rbob.395.fits']",87.83446052691784,0,0,No failure,False,[],0,0,4378.596,71.5,4387.555,71.5,4458.415,55.303,54.737,0.703,0.07,0.703,0.07,0.669,0.02,0.02,0.017,0.09,-0.001,0.09,-0.01,0.083,0.083,4.644,0.09,4.644,0.09,4.623,0.022,0.026,0.704,0.6,0.704,0.6,0.686,0.023,0.023,9.57,0.23,9.569,0.23,7.509,7.012,5.213,3.87,04Nov2021-22:03:09
HIP11000,HIP11000,HIP11000,"['ratn.221.fits', 'ratn.222.fits', 'ratn.223.fits']",132.86992416663327,0,0,No failure,False,[],0,0,4562.862,125.8,4571.82,125.8,4734.357,95.667,88.469,0.735,0.07,0.735,0.07,0.735,0.026,0.025,0.07,0.09,0.043,0.09,0.045,0.086,0.084,4.579,0.09,4.579,0.09,4.581,0.028,0.033,0.742,0.6,0.742,0.6,0.754,0.032,0.031,9.82,0.23,9.823,0.23,7.928,6.71,5.34,5.36,04Nov2021-22:17:29
HIP11029,HIP11029,HIP11029,"['rbjf.220.fits', 'rbjf.221.fits', 'rbjf.219.fits']",241.93355032619493,0,0,No failure,False,[],1,0,6659.245,125.8,6668.204,125.8,6634.791,120.401,121.731,1.783,0.34,1.567,0.34,1.654,0.034,0.033,-0.178,0.09,-0.162,0.09,-0.158,0.09,0.088,4.077,0.09,4.077,0.09,4.12,0.022,0.023,1.366,0.6,1.366,0.6,1.323,0.034,0.03,9.38,0.23,9.383,0.23,2.13,0.309,0.296,10.64,04Nov2021-22:32:44
HIP110341,HIP110341,HIP110341,"['rbnv.274.fits', 'rbnv.275.fits', 'rbnv.276.fits']",259.24428370325256,0,0,No failure,False,[],0,0,6181.579,125.8,6190.538,125.8,6236.795,103.672,98.838,1.484,0.34,1.378,0.34,1.338,0.026,0.024,-0.218,0.09,-0.195,0.09,-0.191,0.083,0.099,4.154,0.09,4.154,0.09,4.235,0.025,0.028,1.122,0.6,1.122,0.6,1.125,0.049,0.055,9.66,0.23,9.661,0.23,3.773,1.314,0.986,1.09,04Nov2021-22:48:53
HIP110395,HIP110395,HIP110395,"['rbox.086.fits', 'rbox.088.fits', 'rbox.089.fits', 'rbox.087.fits', 'rbox.085.fits']",260.3860246555823,0,0,No failure,False,[],1,3,6685.152,125.8,6694.11,125.8,6717.649,121.718,115.765,1.729,0.34,1.535,0.34,2.135,0.188,0.169,-0.205,0.09,-0.184,0.09,-0.153,0.07,0.093,4.095,0.09,4.095,0.09,3.933,0.058,0.056,1.347,0.6,1.347,0.6,1.465,0.079,0.077,9.39,0.23,9.388,0.23,1.797,0.302,0.231,7.15,04Nov2021-23:02:11
HIP110526,HIP110526,HIP110526,"['rbxh.701.fits', 'rbxh.702.fits', 'rbxh.700.fits']",47.775511951588,0,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],1,3,3403.185,71.5,3412.144,71.5,0.0,0.0,0.0,0.429,0.07,0.429,0.07,0.0,0.0,0.0,0.028,0.09,0.008,0.09,0.0,0.0,0.0,4.788,0.09,4.788,0.09,0.0,0.0,0.0,0.397,0.6,0.397,0.6,0.0,0.0,0.0,9.75,0.23,9.746,0.23,0.0,0.0,0.0,13.6,04Nov2021-23:15:09
HIP110640,HIP110640,HIP110640,"['ratl.195.fits', 'ratl.193.fits', 'ratl.194.fits']",139.29260281586653,0,0,No failure,True,['Failed to find Gaia name in Simbad; cannot run isochrone analysis.'],1,3,4369.113,71.5,4378.072,71.5,0.0,0.0,0.0,0.708,0.07,0.708,0.07,0.0,0.0,0.0,0.029,0.09,0.008,0.09,0.0,0.0,0.0,4.642,0.09,4.642,0.09,0.0,0.0,0.0,0.706,0.6,0.706,0.6,0.0,0.0,0.0,9.59,0.23,9.588,0.23,0.0,0.0,0.0,2.74,04Nov2021-23:26:44
HIP110750,HIP110750,HIP110750,"['rcai.102.fits', 'rcai.103.fits', 'rcai.104.fits']",152.65464511055052,0,0,No failure,False,[],0,0,4438.333,71.5,4447.292,71.5,4492.484,58.661,55.71,0.71,0.07,0.71,0.07,0.683,0.021,0.02,0.05,0.09,0.026,0.09,0.025,0.084,0.083,4.623,0.09,4.623,0.09,4.612,0.023,0.027,0.718,0.6,0.718,0.6,0.7,0.025,0.023,9.62,0.23,9.622,0.23,8.177,6.854,5.545,4.09,04Nov2021-23:38:49
HIP110774,HIP110774,HIP110774,"['rbul.511.fits', 'rbul.512.fits', 'rbul.513.fits']",94.20384806489794,0,0,No failure,False,[],0,0,4333.355,71.5,4342.313,71.5,4398.344,57.731,58.013,0.685,0.07,0.685,0.07,0.643,0.02,0.02,-0.078,0.09,-0.079,0.09,-0.086,0.082,0.079,4.648,0.09,4.648,0.09,4.636,0.022,0.024,0.684,0.6,0.684,0.6,0.657,0.022,0.022,9.65,0.23,9.651,0.23,8.574,6.899,5.846,6.81,04Nov2021-23:52:20
HIP110778,HIP110778,HIP110778,"['rboi.715.fits', 'rboi.714.fits']",233.18022552979272,0,0,No failure,False,[],0,3,5907.068,125.8,5916.027,125.8,6020.216,114.543,108.327,1.026,0.34,1.03,0.34,1.296,0.031,0.027,-0.057,0.09,-0.062,0.09,-0.027,0.07,0.07,4.436,0.09,4.436,0.09,4.25,0.03,0.032,1.041,0.6,1.041,0.6,1.1,0.051,0.057,9.39,0.23,9.39,0.23,4.716,1.744,1.386,6.1,05Nov2021-00:08:15
HIP11090,HIP11090,HIP11090,"['rcbi.129.fits', 'rcbi.130.fits', 'rcbi.131.fits']",362.6372531108049,0,0,No failure,False,[],1,0,6492.339,125.8,6501.297,125.8,6643.857,95.931,111.055,2.387,0.34,2.387,0.34,1.941,0.042,0.039,-0.017,0.09,-0.029,0.09,0.001,0.07,0.103,3.913,0.09,3.913,0.09,4.021,0.022,0.022,1.525,0.6,1.525,0.6,1.451,0.043,0.044,9.3,0.23,9.302,0.23,1.823,0.237,0.226,3.79,05Nov2021-00:22:59
