,source_id,ra,ra_error,dec,teff_val,radius_val,HIP_name,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
0,2441630500517079808,1.6764641244063048,0.0998050683945291,-7.546212317389292,3314.0,,None,1.6799884556237503,-7.538062297491111,206.2134,-811.48,-1892.905,-33.7,2000.0,9.80454475460514e-07
1,5164707970261630080,53.22843060109699,0.3824336044821629,-9.458171515191356,4975.0,0.8306641,HIP16537,53.2326873475,-9.458258656944444,310.94,-975.17,19.49,16.376,2000.0,3.2578242370733786e-06
2,3117120863523946368,97.35069832372696,0.9055547995614376,-2.8170137783457982,4293.077,,HIP30920,97.3474646563496,-2.813556641950277,242.9659,750.14,-802.947,16.7,2000.0,3.037641186302568e-07
3,2358524597030794112,18.13307924122228,0.0596174871808219,-16.99624342179342,3296.5,,HIP5643,18.127653225566668,-16.998989253802776,269.3628,1205.176,637.758,28.09,2000.0,7.232720553421148e-07
4,4330690742322011520,247.57482757269088,0.0583838844353566,-12.667686637687495,3727.36,,HIP80824,247.57524250445124,-12.66258978755222,232.2095,-94.027,-1183.784,-21.216,2000.0,3.972463236306021e-07
5,5140693571158739712,24.771210452138845,0.2244810193168529,-17.9477628246832,3295.75,,None,24.75573556536916,-17.95066647145611,369.9318,3385.827,532.04,0.0,2000.0,0.0006290065175455624
6,5140693571158739840,24.771059358018583,0.2086091353594454,-17.94837634531903,3336.5,,None,24.75573556536916,-17.95066647145611,369.9318,3385.827,532.04,0.0,2000.0,1.2169190746884865e-06
7,5140693777316511360,24.77069299811781,46.12573747833533,-17.94810680867092,,,None,24.75573556536916,-17.95066647145611,369.9318,3385.827,532.04,0.0,2000.0,0.0004397117941806448
8,1637645127018395776,264.10417311195084,0.0337002943767456,68.33367405672519,3825.53,,HIP86162,264.1079132082267,68.3391400377617,219.7807,-320.636,-1269.528,-28.759,2000.0,6.602499647674717e-07
9,4468557611977674496,271.3658656798784,0.2166877167778837,2.494347133667221,4442.5,0.6785651,None,271.3644259513537,2.4989509975222224,195.2166,334.071,-1069.285,-10.0,2000.0,1.511342429045741e-07
10,1872046574983507456,316.7477375941723,0.073038114813398,38.763411107191175,4327.0,0.72014487,HIP104214,316.7247483752822,38.7494158400991,285.9459,4164.174,3249.991,-65.82,2000.0,8.871830776309608e-06
11,76868614540049408,30.058830665676748,0.0812531122512102,13.044317237208904,3305.0,,None,30.0539841391376,13.0519503596263,223.6349,1096.565,-1772.865,-28.308,2000.0,9.186315074623374e-07
12,2007876324466455424,336.9923137243434,0.1817250541497253,57.69406039042109,4425.525,,None,336.9981564512275,57.69502237771611,249.3926,-725.227,-223.461,-24.0,2000.0,4.2112678506584236e-07
13,2007876324472098432,336.9916224196719,0.6796818424212033,57.69419743802371,3656.6667,,None,336.9981564512275,57.69502237771611,249.3926,-725.227,-223.461,-24.0,2000.0,0.00039398446428448586
14,2007876324466455424,336.9923137243434,0.1817250541497253,57.69406039042109,4425.525,,None,336.9991483422729,57.69715187574389,249.9668,-934.098,-686.244,-28.0,2000.0,0.000393901617471142
15,2007876324472098432,336.9916224196719,0.6796818424212033,57.69419743802371,3656.6667,,None,336.9991483422729,57.69715187574389,249.9668,-934.098,-686.244,-28.0,2000.0,7.840666125379457e-07
16,2596740426912781696,339.6503394188831,2.2023266435552085,-15.289968606899302,3294.0,,None,339.6399,-15.2999325,293.6,2314.8,2295.3,-60.0,2000.0,0.0001275243069109628
17,1934263333784036736,341.70296260284204,0.0308839598007587,44.33201708254704,3742.19,,HIP112460,341.7072132253419,44.3339922842305,198.0112,-706.152,-458.775,0.287,2000.0,1.8928067630482765e-07
18,2603090003484152064,343.32397371221697,0.0671657082579801,-14.26659581558406,3837.205,,HIP113020,343.3197179614233,-14.263695391648888,213.8669,957.961,-673.638,-1.6,2000.0,9.61652366521454e-08
19,1926461164913660160,355.47999369869643,0.1018132702547076,44.170596761287726,3293.0,,None,355.4793171610063,44.17745144152694,316.9558,112.692,-1592.055,-77.764,2000.0,2.685522328040162e-06
20,3526420114272476800,188.0157065574052,0.3708980845374053,-16.19625623315933,6722.0,1.6411434,HIP61174,188.0176105425,-16.19600457583333,54.7,-425.17,-57.23,0.69,2000.0,5.690025592530682e-06
21,2193192137374547328,319.646298283486,0.8178950450054825,62.58578821319179,,,HIP105199,319.6448846972256,62.5855744637194,66.5,150.55,49.09,-15.8,2000.0,3.5568629542238186e-06
22,2193192137369300096,319.6466068984432,1.9147922221794464,62.58593491397673,,,HIP105199,319.6448846972256,62.5855744637194,66.5,150.55,49.09,-15.8,2000.0,0.00020778330493033547
23,2198483880674251136,333.7625048254672,0.2582305195286951,57.04379547618186,7124.0,2.2763178,HIP109857,333.759214452613,57.0435655540271,38.0277,415.734,53.391,-4.7,2000.0,8.804470337795551e-08
24,3307650109600736000,67.20947489647735,0.1431355244858996,13.047537872988826,7814.3335,2.361986,HIP20901,67.2090158449306,13.0476042787042,20.5887,103.866,-15.423,37.3,2000.0,5.1013631612755335e-09
25,2246581329639103872,304.38566743573097,0.034992327532918,66.85497047393939,5974.0,0.99011385,HIP100017,304.3805345030912,66.853689331402,57.2564,468.619,297.538,-4.455,2000.0,1.9735104227930866e-07
26,6880093650312745984,304.51383554530094,0.3050310221239034,-12.544841178669785,4735.6665,10.033714,HIP100064,304.51356644875,-12.54485232,30.82,62.63,2.66,0.7,2000.0,6.991573145154531e-06
