param,uncal_1,cal_1,uncal_2,cal_2
feh,-1.0,-0.8381034067122111,1.0,0.8072890614836472
Teff,0,8.958613861386125,10000,10008.958613861387
radius,1.0,1.008398645629755,2.0,1.728069738622683
logg,3.0,3.0334455445544553,6.0,6.033445544554455
mass,0.0,-0.01381188118811881,3.0,2.986188118811881
age,9.0,9.012475247524753,14.5,14.512475247524753
