source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_distance
2441630500517079808,1.6764641244063048,0.09980506839452918,-7.546212317389292,0.06476906344300534,206.2134325090654,0.12813835338147714,11.780395,3.6914234,,,"NOT_AVAILABLE",3314.0,0.412,,,"GJ1002",1.6799884556237503,-7.538062297491111,206.2134,-811.48,-1892.905,-33.7,2000.0,9.80454475460514E-7
5164707970261630080,53.22843060109699,0.3824336044821629,-9.458171515191356,0.21614371829047835,312.21914118452634,0.4673477267488773,3.3691404,1.1195965,,,"NOT_AVAILABLE",4975.0,0.164,0.8306641,0.3808184,"GJ144",53.232687347500004,-9.458258656944444,310.94,-975.17,19.49,16.376,2000.0,3.2578242370733786E-6
3117120863523946368,97.35069832372695,0.9055547995614375,-2.8170137783457982,0.8510366203233126,242.96589017595667,0.8833120688069219,9.580622,3.1001558,,,"NOT_AVAILABLE",4293.077,,,,"GJ234",97.34746465634959,-2.8135566419502775,242.9659,750.14,-802.947,16.7,2000.0,3.0376411863025675E-7
2358524597030794112,18.133079241222276,0.0596174871808219,-16.99624342179342,0.05537965016407179,269.3628251340204,0.07849585522618467,10.429373,3.2061062,,,"NOT_AVAILABLE",3296.5,0.32,,,"GJ54.1",18.127653225566668,-16.998989253802776,269.3628,1205.176,637.758,28.09,2000.0,7.232720553421148E-7
4330690742322011520,247.57482757269088,0.05838388443535661,-12.667686637687495,0.026181261125882305,232.2095316706233,0.06302758946850587,8.794438,2.7390351,-21.60549600697388,0.3263225632947721,"NOT_AVAILABLE",3727.36,0.1453,,,"GJ628",247.57524250445124,-12.662589787552221,232.2095,-94.027,-1183.784,-21.216,2000.0,3.9724632363060204E-7
5140693571158739840,24.771059358018583,0.2086091353594454,-17.94837634531903,0.1921322749822942,369.93177332954855,0.2684339253393488,10.487132,3.7449627,,,"NOT_AVAILABLE",3336.5,0.416,,,"GJ65A",24.75573556536916,-17.95066647145611,369.9318,3385.827,532.04,0.0,2000.0,1.2169190746884865E-6
1637645127018395776,264.10417311195084,0.033700294376745675,68.33367405672519,0.034578710065706314,219.7807268372406,0.032409903171273305,8.027544,2.5259433,,,"NOT_AVAILABLE",3825.53,0.194,,,"GJ687",264.1079132082267,68.3391400377617,219.7807,-320.636,-1269.528,-28.759,2000.0,6.602499647674717E-7
4468557611977674496,271.3658656798784,0.21668771677788376,2.494347133667221,0.1899900160136526,195.2165586108077,0.10115078593438435,5.50308,1.4773507,,,"NOT_AVAILABLE",4442.5,0.374,0.6785651,0.16157997,"GJ702B",271.3644259513537,2.4989509975222224,195.2166,334.071,-1069.285,-10.0,2000.0,1.5113424290457408E-7
1872046574983507456,316.7477375941723,0.07303811481339806,38.763411107191175,0.08625337245105454,285.9459145181478,0.10084725602513019,4.716549,1.4449625,-65.93775987379425,0.13571152462284727,"NOT_AVAILABLE",4327.0,0.173,0.72014487,0.16378798,"GJ820A",316.7247483752822,38.7494158400991,285.9459,4164.174,3249.991,-65.82,2000.0,8.871830776309608E-6
76868614540049408,30.058830665676748,0.08125311225121026,13.044317237208903,0.07261894529212745,223.63488549500343,0.10662451083673868,10.671143,3.173747,,,"NOT_AVAILABLE",3305.0,0.242,,,"GJ83.1",30.053984139137597,13.0519503596263,223.6349,1096.565,-1772.865,-28.308,2000.0,9.186315074623374E-7
2007876324466455424,336.9923137243434,0.1817250541497253,57.69406039042109,0.13289636485773193,249.39262934847932,0.16532185012105857,8.641353,2.6920462,,,"NOT_AVAILABLE",4425.525,,,,"GJ860A",336.9981564512275,57.69502237771611,249.3926,-725.227,-223.461,-24.0,2000.0,4.2112678506584225E-7
2007876324472098432,336.9916224196719,0.6796818424212033,57.69419743802371,0.671057285431601,249.9668402896291,0.7413701739934774,9.911301,2.9139237,,,"NOT_AVAILABLE",3656.6667,,,,"GJ860B",336.9991483422729,57.697151875743884,249.9668,-934.098,-686.244,-28.0,2000.0,7.840666125379457E-7
2596740426912781696,339.6503394188831,2.2023266435552085,-15.289968606899302,2.112006228705844,,,10.18602,3.8237686,,,"NOT_AVAILABLE",3294.0,,,,"GJ866",339.6399,-15.2999325,293.6,2314.8,2295.3,-60.0,2000.0,1.275243069109628E-4
1934263333784036736,341.70296260284204,0.030883959800758767,44.33201708254704,0.02937476461958738,198.0112096934385,0.03802223753392052,9.000006,2.734511,,,"NOT_AVAILABLE",3742.19,,,,"GJ873",341.7072132253419,44.3339922842305,198.0112,-706.152,-458.775,0.287,2000.0,1.8928067630482765E-7
2603090003484152064,343.32397371221697,0.06716570825798016,-14.26659581558406,0.052252137917698206,213.86686187906741,0.07583484267852367,8.8752985,2.8154254,,,"NOT_AVAILABLE",3837.205,0.4623,,,"GJ876",343.3197179614233,-14.263695391648888,213.8669,957.961,-673.638,-1.6,2000.0,9.61652366521454E-8
